"twitter_handle","added_at","is_new_handle","most_recent_tweet"
"GeorgeWeahOff",2020-04-14 08:58:09,FALSE,687291646829031424
"edmnangagwa",2020-04-14 08:58:09,FALSE,1249307624010637312
"BarrowPresident",2020-04-14 08:58:09,FALSE,1243669782056128512
"PresidenceGA",2020-04-14 08:58:09,FALSE,1239656301900304384
"Presidency_GMB",2020-04-14 08:58:09,FALSE,1249330397651107840
"presidencebf",2020-04-14 08:58:09,FALSE,1246459646270980096
"cgtnafrica",2020-04-14 08:58:09,FALSE,1249965886259310592
"forbesafrica",2020-04-14 08:58:09,FALSE,1.249020032795e+18
"cnbcafrica",2020-04-14 08:58:09,FALSE,1249801963883167744
"rbarwanda",2020-04-14 08:58:09,FALSE,1249773515315843072
"DonaldKaberuka",2020-04-14 08:58:09,FALSE,1248739070542516224
"AfDB_Group",2020-04-14 08:58:09,FALSE,1248641586872889344
"AUC_MoussaFaki",2020-04-14 08:58:09,FALSE,1249734557881864192
"MiddleEastEye",2020-04-14 08:58:09,FALSE,1249968530482741248
"SouthernRCC",2020-04-14 08:58:09,FALSE,1249964048902426624
"Africa_Conf",2020-04-14 08:58:09,FALSE,1249684047019859968
"AmnestySARO",2020-04-14 08:58:09,FALSE,1247465009371897856
"AngolaVoz",2020-04-14 08:58:09,FALSE,1244629530041626624
"sofiacsn",2020-04-14 08:58:09,FALSE,1249002875214270464
"AFPAfrica",2020-04-14 08:58:09,FALSE,1249628482809860096
"News24",2020-04-14 08:58:09,FALSE,1249969460305428480
"voiceofnigeria",2020-04-14 08:58:09,FALSE,1249959940485197824
"AJENews",2020-04-14 08:58:09,FALSE,1249931512079933440
"DailyNationZM",2020-04-14 08:58:09,FALSE,1225886984822018048
"Zambia_Reports",2020-04-14 08:58:09,FALSE,1249593046737596416
"mohzambia",2020-04-14 08:58:09,FALSE,1247549176805818368
"gouvbenin",2020-04-14 08:58:09,FALSE,1249775174003625984
"PresidenceBenin",2020-04-14 08:58:09,FALSE,1249336789342486528
"BWGovernment",2020-04-14 08:58:09,FALSE,1249950776031612928
"BotswanaRed",2020-04-14 08:58:09,FALSE,1248195260301348864
"GlobalChamOUA",2020-04-14 08:58:09,FALSE,1247703086681821184
"CAREBurundi",2020-04-14 08:58:09,FALSE,1243857623893540864
"WhoBurundi",2020-04-14 08:58:09,FALSE,1249555839435882496
"BurundiGov",2020-04-14 08:58:09,FALSE,1249352250952167424
"CameroonPm237",2020-04-14 08:58:09,FALSE,1249294200744665088
"CameroonTV",2020-04-14 08:58:09,FALSE,1249521897001361408
"diplocam_minrex",2020-04-14 08:58:09,FALSE,1247566817037561856
"CroixRougeCam",2020-04-14 08:58:09,FALSE,1249777836510064640
"PR_Paul_BIYA",2020-04-14 08:58:09,FALSE,1239988020763398144
"klarsonafrica",2020-04-14 08:58:09,FALSE,501015425711620096
"XylanderS_atWHO",2020-04-14 08:58:09,FALSE,1249943894151888896
"morocconewsline",2020-04-14 08:58:09,FALSE,1249472605784018944
"MartinRJay",2020-04-14 08:58:09,FALSE,1249695642299125760
"EGYPTAIR",2020-04-14 08:58:09,FALSE,1239642198523682816
"EgyptTodayMag",2020-04-14 08:58:09,FALSE,1249950446816497664
"EgyIndependent",2020-04-14 08:58:09,FALSE,1249804554654318592
